#Transcript position	Transcript coverage profile
0.0	2110.40811893165
1.0	2307.841121346386
2.0	2430.455086619885
3.0	2447.3980292225824
4.0	2496.6989360378407
5.0	2583.999529018587
6.0	2717.7747636641384
7.0	2820.8778933753697
8.0	2849.9727151700336
9.0	2878.8492902323014
10.0	2844.6618504594535
11.0	2843.3013382962295
12.0	2877.6927903114283
13.0	2942.8273384886675
14.0	2972.7347321880584
15.0	3075.8054930517733
16.0	3142.917138306614
17.0	3110.467803095665
18.0	3106.2110698740503
19.0	3118.8896332957297
20.0	3238.5984445556473
21.0	3316.6479990535368
22.0	3280.445383739682
23.0	3221.793473994387
24.0	3213.329387636901
25.0	3243.9816596866244
26.0	3226.958824483124
27.0	3152.162122544852
28.0	3161.8241226511514
29.0	3246.551810902509
30.0	3318.87093354504
31.0	3273.7715533445207
32.0	3205.483467659674
33.0	3273.6343709231687
34.0	3263.962862051164
35.0	3255.9681695652334
36.0	3294.0724966646385
37.0	3286.2574871042707
38.0	3361.4808022815973
39.0	3444.503934539741
40.0	3439.704747998414
41.0	3479.0591879554086
42.0	3426.0697913733848
43.0	3359.0398142085915
44.0	3273.99217918366
45.0	3273.6004977364637
46.0	3300.093733414977
47.0	3296.3393091639527
48.0	3263.5713256898407
49.0	3227.268265757876
50.0	3165.9953282573465
51.0	3221.3032426595114
52.0	3272.397392022546
53.0	3329.2838846819195
54.0	3373.7723550804017
55.0	3386.5566461044446
56.0	3339.199611264502
57.0	3346.9324154758733
58.0	3351.7672888909474
59.0	3300.3175903480947
60.0	3292.2938440186504
61.0	3322.3616988599797
62.0	3344.609014878375
63.0	3286.103382382401
64.0	3199.353414294094
65.0	3116.409551970079
66.0	3117.2964040199927
67.0	3069.6481948280743
68.0	3041.3884205243307
69.0	3053.8899270337097
70.0	3059.611844463418
71.0	3041.14318403522
72.0	3048.065244160793
73.0	3091.953540453267
74.0	3115.1326729993066
75.0	3097.534675291721
76.0	3059.4391549033235
77.0	3094.5785926817844
78.0	3090.9633272181727
79.0	3160.417186545382
80.0	3218.3799729715925
81.0	3266.416189900669
82.0	3196.597751014356
83.0	3181.717042983848
84.0	3108.702670593521
85.0	3062.9823780139754
86.0	3123.8277137375394
87.0	3149.425096586366
88.0	3104.9464557603137
89.0	3037.185436699291
90.0	2933.418068363412
91.0	2863.003323155712
92.0	2607.4613550871754
93.0	2387.5408109347936
94.0	2251.0474451203704
95.0	2016.3121157022713
96.0	1626.2682523918163
97.0	1207.6556648675753
98.0	778.5679392457359
99.0	243.14501849326703
