#Transcript position	Transcript coverage profile
0.0	1951.9022622613575
1.0	2219.162630980789
2.0	2370.289798531076
3.0	2330.8709183411142
4.0	2357.794541309112
5.0	2461.203195903226
6.0	2594.489003395557
7.0	2699.3177099206223
8.0	2732.6740462891034
9.0	2743.4603692621536
10.0	2647.818540096368
11.0	2625.1121725549406
12.0	2676.0025065963496
13.0	2744.721373926597
14.0	2769.086943286294
15.0	2930.0599492849988
16.0	2993.098915207848
17.0	2910.275317771865
18.0	2922.9532558483356
19.0	2941.5823214641637
20.0	3079.285939897995
21.0	3156.908092930584
22.0	3105.7373049542516
23.0	2991.612425127789
24.0	2931.2824434320273
25.0	2924.3554521544675
26.0	2868.1612069828743
27.0	2764.7066608881382
28.0	2781.5696124191822
29.0	2915.7797985610546
30.0	2998.063438880519
31.0	2931.000683803246
32.0	2863.0681924244805
33.0	2948.584529517404
34.0	2917.302944184094
35.0	2843.042061794856
36.0	2880.8568066749485
37.0	2866.8145118785765
38.0	2963.7523928138094
39.0	3063.872696478617
40.0	3051.228306295104
41.0	3086.831438453333
42.0	3013.3448363638877
43.0	2908.46353692336
44.0	2758.452387659185
45.0	2707.4835184612043
46.0	2718.829339878359
47.0	2713.139305919561
48.0	2694.9397277301505
49.0	2645.6672041766665
50.0	2612.7941053359286
51.0	2688.27038179369
52.0	2766.6871924793227
53.0	2852.9209835940637
54.0	2899.4309042819164
55.0	2917.2293922291888
56.0	2865.519355370545
57.0	2883.169495257683
58.0	2867.03448083724
59.0	2784.4762936767625
60.0	2746.498769766369
61.0	2777.5490382321113
62.0	2813.5910182584466
63.0	2737.608145014529
64.0	2621.4533319759275
65.0	2467.690347739563
66.0	2451.9424237098456
67.0	2369.169496576104
68.0	2341.4925076268173
69.0	2347.065672278539
70.0	2357.31894220547
71.0	2323.6595928122097
72.0	2352.1137339904008
73.0	2394.0406847198274
74.0	2416.2040421210213
75.0	2378.767896316741
76.0	2347.5998334965066
77.0	2433.002883787954
78.0	2452.2742498169514
79.0	2508.9667958815885
80.0	2566.6847811044436
81.0	2637.758142981557
82.0	2541.1731354281
83.0	2504.1324042572237
84.0	2449.462581353681
85.0	2441.9562653765147
86.0	2559.9640191836925
87.0	2627.998339406082
88.0	2615.607607932234
89.0	2577.3068997430755
90.0	2511.321581570194
91.0	2500.913833303714
92.0	2241.3309205464598
93.0	2072.7594701886965
94.0	2015.150446632993
95.0	1813.31531850729
96.0	1427.1143590459383
97.0	986.6759883224421
98.0	596.6533816479966
99.0	182.6994526905286
