#Transcript position	Transcript coverage profile
0.0	2753.405526114678
1.0	3101.0428934537103
2.0	3312.3024743889446
3.0	3334.2107517460367
4.0	3432.1842772057967
5.0	3554.360552907505
6.0	3779.0493279724133
7.0	3953.09414865437
8.0	4026.8374354198113
9.0	4094.8563387548998
10.0	4026.438574007862
11.0	4058.4628415800607
12.0	4106.384630612471
13.0	4237.387033699341
14.0	4310.016256475007
15.0	4499.291830274165
16.0	4655.033089502621
17.0	4667.566140127573
18.0	4703.809157907418
19.0	4764.2173485505555
20.0	4990.600527875589
21.0	5096.8969278369295
22.0	5055.090095855333
23.0	4963.970587816538
24.0	4985.58667612114
25.0	5067.443235510896
26.0	5020.545652962275
27.0	4863.244837025296
28.0	4870.254203242772
29.0	5037.479931452387
30.0	5107.854234814313
31.0	5027.754021138923
32.0	4910.192491262649
33.0	4998.008720985172
34.0	4974.99300177336
35.0	4955.444782839971
36.0	4990.111297301996
37.0	4992.182433521963
38.0	5148.62383058074
39.0	5346.280931707431
40.0	5355.484136078099
41.0	5390.665526600016
42.0	5323.449390081702
43.0	5223.953191561818
44.0	5057.942377930843
45.0	5017.0908325299115
46.0	5045.8146597232735
47.0	5031.628001805032
48.0	4994.570250796782
49.0	4962.980383278949
50.0	4878.532969758316
51.0	4923.201222439612
52.0	4991.837219979296
53.0	5116.725902036242
54.0	5177.42841546988
55.0	5195.284548294714
56.0	5135.663575601829
57.0	5194.847607190437
58.0	5189.53290734106
59.0	5102.96410228608
60.0	5068.559295868955
61.0	5120.973203474168
62.0	5158.48854277466
63.0	5054.405325521514
64.0	4932.679897930253
65.0	4792.045908233608
66.0	4811.678856817303
67.0	4743.988699684583
68.0	4703.837442312974
69.0	4735.887070556988
70.0	4761.007943247176
71.0	4721.977485867125
72.0	4715.152421393866
73.0	4778.445781009518
74.0	4808.618790152676
75.0	4797.9380869448505
76.0	4783.851955954567
77.0	4860.35930878659
78.0	4833.121533641834
79.0	4960.345886402157
80.0	5062.6446440794225
81.0	5123.676690868973
82.0	5019.887017412383
83.0	4963.79511449106
84.0	4829.716519033056
85.0	4771.578475228848
86.0	4833.4068219821165
87.0	4871.975216776169
88.0	4809.292786291868
89.0	4712.34890285349
90.0	4594.812691512461
91.0	4475.375269955071
92.0	4059.877881101764
93.0	3756.3530939605866
94.0	3557.7405595228956
95.0	3161.486202224229
96.0	2521.049316955343
97.0	1852.9507178240917
98.0	1164.4403714963971
99.0	360.7012803611518
