"","ARID2_WT_Rep1","ARID2_WT_Rep2","ARID2_KO_Rep1","ARID2_KO_Rep2"
"ENSG00000006837.12",17.542793952141,21.0519321371094,16.8207437790517,14.962820803952
"ENSG00000013561.18",1232.45617986447,1212.27463653878,1576.4910699588,1594.47142098481
"ENSG00000015479.20",14407.0213428544,11741.5211333564,10396.7522601724,13415.0312498242
"ENSG00000016082.15",87.1864677917222,75.6924355490366,58.7280601001237,71.0028793100247
"ENSG00000019582.15",7376.82789585177,7708.30300204071,19876.8993702389,21967.2011925832
"ENSG00000027847.14",224.125284770562,197.666509200366,237.388361791456,244.665550781963
"ENSG00000028310.18",1722.76178677116,2136.85000457068,1934.02823568884,2015.28129684293
"ENSG00000031003.10",1179.53586734256,1059.00908898395,1238.19681279671,1124.73175678122
"ENSG00000035499.13",1408.38243628381,1287.11059771001,1306.46312544359,1279.95751081718
"ENSG00000037241.7",641.834813951274,681.502861406995,629.19388553558,699.711423738295
"ENSG00000037280.16",5.09380582978611,24.3801872899671,15.6539470667386,22.2681583629202
"ENSG00000037474.15",5906.53622877445,6638.79415225222,5471.12147046347,5714.13264948334
"ENSG00000037749.12",1814.47178691219,1303.60055896645,1611.44033230317,1388.43590990395
"ENSG00000038274.17",1668.61099173957,2048.06549305219,1662.89142037917,1623.03287227043
"ENSG00000038382.20",10470.021394219,13053.618213691,12538.8958702065,9782.08043030842
"ENSG00000038427.16",8308.99099797745,7195.41887396735,4058.94843225277,4258.06829722005
"ENSG00000039123.16",5152.20761818002,4569.91881206435,4503.20898057768,3987.76245546857
"ENSG00000039139.9",98.9196148384085,93.2315169935562,57.6110270519484,52.1517262401371
"ENSG00000039319.17",2385.80592293682,1769.6153676201,1619.93719269563,1403.30398921317
"ENSG00000039560.14",4802.36725704451,4536.57911531847,4605.32632056094,5072.68544833312
"ENSG00000040275.17",3278.05942164016,3029.87963613923,2060.36530100368,2103.71196273342
