#Transcript position	Transcript coverage profile
0.0	1988.8782582724582
1.0	2199.9444784812795
2.0	2299.313739328525
3.0	2232.464819458917
4.0	2267.3006418681457
5.0	2347.5332064659483
6.0	2479.495517844241
7.0	2601.0330870994853
8.0	2632.3510202318143
9.0	2650.1150242341405
10.0	2550.3535222231217
11.0	2526.202531371026
12.0	2570.430575181499
13.0	2642.585250799706
14.0	2693.4558060905365
15.0	2858.3803662026235
16.0	2940.9509869763574
17.0	2903.8395203552263
18.0	2921.387677888211
19.0	2961.2149210793664
20.0	3089.339322168243
21.0	3180.527702876257
22.0	3158.3526452279134
23.0	3043.9974435662634
24.0	2992.019339294666
25.0	2995.4985307175707
26.0	2970.386096019704
27.0	2866.527166533347
28.0	2877.506183513356
29.0	3016.2099055168155
30.0	3127.870114873722
31.0	3048.4525627986495
32.0	2977.8229127601153
33.0	3100.067163423017
34.0	3054.3529454922004
35.0	2998.2687478837624
36.0	3037.123705600928
37.0	3035.0070789430665
38.0	3169.6713379260095
39.0	3284.8734002139736
40.0	3261.5334708685386
41.0	3291.2891161336947
42.0	3194.8656585768504
43.0	3080.075399201154
44.0	2944.466502763049
45.0	2899.1692878418053
46.0	2934.307922398042
47.0	2926.6957275202417
48.0	2883.3638255358583
49.0	2830.804403151346
50.0	2791.077336717313
51.0	2870.7618364910463
52.0	2947.8910571023243
53.0	3038.244655279417
54.0	3077.2783076444207
55.0	3104.212860197923
56.0	3055.500116507329
57.0	3070.642477132815
58.0	3069.7399118776057
59.0	2986.6392355548955
60.0	2956.937865984745
61.0	2996.741813860856
62.0	3017.3289932894813
63.0	2923.182162252101
64.0	2793.8699389275675
65.0	2626.797757876962
66.0	2594.519053354389
67.0	2509.566594905782
68.0	2480.4887898372203
69.0	2481.185935484416
70.0	2496.7578288943164
71.0	2477.1635947523464
72.0	2495.3527177145456
73.0	2542.745335026245
74.0	2574.371652427703
75.0	2526.918271210482
76.0	2476.082353202628
77.0	2561.579328639553
78.0	2594.829546766322
79.0	2673.3171658406627
80.0	2736.531193292946
81.0	2810.8023807307827
82.0	2711.513476210393
83.0	2683.4292334902175
84.0	2619.323510607276
85.0	2606.3843099364144
86.0	2745.3667917125717
87.0	2818.995168762772
88.0	2812.944765046187
89.0	2771.430010554231
90.0	2678.241366818562
91.0	2637.243134034166
92.0	2357.190835001894
93.0	2156.8080869883997
94.0	2065.7250066808565
95.0	1848.864448559015
96.0	1453.151167244875
97.0	1014.0791437864019
98.0	604.0913522076539
99.0	184.04586955851718
