#Transcript position	Transcript coverage profile
0.0	0.28944612830650795
1.0	0.32428587178140983
2.0	0.28866981726691204
3.0	0.2790444276255804
4.0	0.28531104245561323
5.0	0.2231602069062225
6.0	0.15915715056266666
7.0	0.14756989890824174
8.0	0.20980687972894418
9.0	0.3186402314912209
10.0	0.33390343988008825
11.0	0.22438356362179898
12.0	0.23947094465872096
13.0	0.25534337749897296
14.0	0.2795011125030635
15.0	0.337026537658207
16.0	0.34661593226479886
17.0	0.3172628708524372
18.0	0.3236542799321556
19.0	0.380809655553644
20.0	0.3195205549655666
21.0	0.3162976606808924
22.0	0.30705083079528606
23.0	0.25476079286304665
24.0	0.24990705005787942
25.0	0.25612665019948344
26.0	0.20774275821792312
27.0	0.2153516098015421
28.0	0.2207278469207898
29.0	0.21684977192038266
30.0	0.24718639617248367
31.0	0.2427962923861297
32.0	0.2880789335902916
33.0	0.3048986759701735
34.0	0.2970213091273501
35.0	0.2597916628968784
36.0	0.1985497230013348
37.0	0.16280374292085328
38.0	0.18115318653674442
39.0	0.2083387357819894
40.0	0.17558703866198577
41.0	0.1581663210082396
42.0	0.173011586132696
43.0	0.2531670946607009
44.0	0.27929889439315864
45.0	0.2318209815614491
46.0	0.22207719831457678
47.0	0.2224134580172483
48.0	0.23803722580332032
49.0	0.23453013675714843
50.0	0.17162749973951538
51.0	0.1815305056722129
52.0	0.1953628018153473
53.0	0.28559767364965033
54.0	0.28509340966851243
55.0	0.30188565382738497
56.0	0.30897136100059774
57.0	0.2307594007529614
58.0	0.2383174488244713
59.0	0.3185067118738355
60.0	0.3480943453791295
61.0	0.32913321637690784
62.0	0.2657940130419634
63.0	0.2917646602257228
64.0	0.2686049910458617
65.0	0.24716461145605156
66.0	0.25396081068493803
67.0	0.21575730236310528
68.0	0.23307435189646727
69.0	0.2354167923160755
70.0	0.28121861989518765
71.0	0.3151697288318973
72.0	0.2672096182551947
73.0	0.2861351496608731
74.0	0.2564992865029625
75.0	0.18679287148244017
76.0	0.15290617789986555
77.0	0.24719390944558747
78.0	0.25711002448162334
79.0	0.282516885340209
80.0	0.25103612310642814
81.0	0.2791969800775679
82.0	0.19435937370469125
83.0	0.19015862811225867
84.0	0.2300122287958071
85.0	0.21855200784404402
86.0	0.23005875578187618
87.0	0.2076738850038421
88.0	0.1993151532183965
89.0	0.26563100009463925
90.0	0.31277528052180903
91.0	0.257093729881121
92.0	0.28408233658368426
93.0	0.23058315978156085
94.0	0.22249013101927845
95.0	0.15057509315855375
96.0	0.12946162464386882
97.0	0.1039450706161591
98.0	0.04691808446296866
99.0	0.013200807959578006
